Date,Total_Consumption
2022-11-25,29.1
2022-11-26,24.0
2022-11-27,71.4
2022-11-28,26.4
2022-11-29,28.5
2022-11-30,53.1
2022-12-01,6.6
2022-12-02,10.6
2022-12-03,12.5
2022-12-04,2.8
2022-12-05,9.6
2022-12-06,6.5
2022-12-07,8.2
2022-12-08,7.7
2022-12-09,8.8
2022-12-10,14.2
2022-12-11,14.2
2022-12-12,8.0
2022-12-13,10.4
2022-12-14,13.1
2022-12-15,16.9
2022-12-16,17.2
2022-12-17,9.3
2022-12-18,17.9
2022-12-19,13.0
2022-12-20,10.2
2022-12-21,9.6
2022-12-22,19.3
2022-12-23,15.1
2022-12-24,14.7
2022-12-25,19.2
2022-12-26,14.6
2022-12-27,16.3
2022-12-28,23.5
2022-12-29,21.0
2022-12-30,17.9
2022-12-31,12.8
2023-01-01,16.7
2023-01-02,7.1
2023-01-03,6.0
2023-01-04,16.7
2023-01-05,3.0
2023-01-06,10.3
2023-01-07,9.4
2023-01-08,5.1
2023-01-09,6.8
2023-01-10,15.9
2023-01-11,4.1
2023-01-12,8.2
2023-01-13,19.0
2023-01-14,14.9
2023-01-15,19.0
2023-01-16,13.7
2023-01-17,8.0
2023-01-18,11.1
2023-01-19,17.0
2023-01-20,9.6
2023-01-21,8.3
2023-01-22,22.3
2023-01-23,9.5
2023-01-24,8.5
2023-01-25,11.8
2023-01-26,17.3
2023-01-27,17.6
2023-01-28,11.2
2023-01-29,19.0
2023-01-30,7.2
2023-01-31,9.8
2023-02-01,10.0
2023-02-02,21.5
2023-02-03,10.2
2023-02-04,12.0
2023-02-05,10.0
2023-02-06,6.2
2023-02-07,6.8
2023-02-08,2.8
2023-02-09,11.4
2023-02-10,6.1
2023-02-11,4.5
2023-02-12,7.8
2023-02-13,14.2
2023-02-14,8.3
2023-02-15,11.2
2023-02-16,13.4
2023-02-17,13.6
2023-02-18,6.6
2023-02-19,15.5
2023-02-20,18.7
2023-02-21,7.2
2023-02-22,10.4
2023-02-23,11.7
2023-02-24,6.3
2023-02-25,2.4
2023-02-26,2.4
2023-02-27,2.7
2023-02-28,2.4
2023-02-28,9.3
2023-03-01,30.3
2023-03-02,53.7
2023-03-03,24.6
2023-03-04,21.0
2023-03-05,30.0
2023-03-06,45.3
2023-03-07,34.5
2023-03-08,15.9
2023-03-09,35.400000000000006
2023-03-10,43.2
2023-03-11,20.700000000000003
2023-03-12,31.8
2023-03-13,47.7
2023-03-14,49.5
2023-03-15,36.3
2023-03-16,39.6
2023-03-17,50.1
2023-03-18,46.2
2023-03-19,30.6
2023-03-20,26.1
2023-03-21,57.0
2023-03-22,46.2
2023-03-23,61.5
2023-03-24,52.2
2023-03-25,48.900000000000006
2023-03-26,45.6
2023-03-27,23.4
